neighborhood,premisescounty,venue_count,avg_subway_entrances,avg_complaints,subway_score,safety_score,competition_score,popupiq_score,boro_check,ntaname,boroname
East Midtown-Turtle Bay,New York,170,17.58235294117647,335.8,26.63992869875223,68.46948356807512,76.6803840877915,53.4,Manhattan,East Midtown-Turtle Bay,Manhattan
Sunset Park (West),Kings,98,3.326530612244898,162.6734693877551,5.040197897340755,84.72549583213566,86.55692729766804,53.2,Brooklyn,Sunset Park (West),Brooklyn
Astoria (Central),Queens,139,4.863309352517986,164.79856115107913,7.36865053411816,84.5259566994292,80.93278463648834,52.9,Queens,Astoria (Central),Queens
Flushing-Willets Point,Queens,150,7.626666666666667,203.83333333333334,11.555555555555557,80.86071987480439,79.42386831275721,52.9,Queens,Flushing-Willets Point,Queens
Hunts Point,Bronx,8,3.625,243.75,5.492424242424242,77.11267605633803,98.90260631001372,52.8,Bronx,Hunts Point,Bronx
Crown Heights (North),Kings,50,4.74,244.88,7.1818181818181825,77.00657276995305,93.14128943758573,52.3,Brooklyn,Crown Heights (North),Brooklyn
Greenpoint,Kings,186,5.967741935483871,168.26344086021504,9.042033235581624,84.20061588166995,74.48559670781893,52.2,Brooklyn,Greenpoint,Brooklyn
Corona,Queens,27,2.0,221.40740740740742,3.0303030303030303,79.21057207442183,96.2962962962963,52.2,Queens,Corona,Queens
South Williamsburg,Kings,18,6.5,298.3333333333333,9.848484848484848,71.98748043818466,97.53086419753086,52.2,Brooklyn,South Williamsburg,Brooklyn
Inwood,New York,35,8.4,319.51428571428573,12.727272727272728,69.99865861837694,95.19890260631001,52.1,Manhattan,Inwood,Manhattan
Castle Hill-Unionport,Bronx,15,1.6666666666666667,227.53333333333333,2.525252525252525,78.63536776212833,97.94238683127571,52.1,Bronx,Castle Hill-Unionport,Bronx
Tribeca-Civic Center,New York,117,20.35042735042735,452.95726495726495,30.833980833980835,57.46880141246338,83.9506172839506,52.1,Manhattan,Tribeca-Civic Center,Manhattan
Flatbush,Kings,38,2.736842105263158,226.68421052631578,4.146730462519936,78.71509760316285,94.78737997256516,52.1,Brooklyn,Flatbush,Brooklyn
Woodside,Queens,83,9.012048192771084,297.6024096385542,13.654618473895583,72.05611177102777,88.61454046639233,52.0,Queens,Woodside,Queens
Elmhurst,Queens,55,4.454545454545454,244.74545454545455,6.749311294765839,77.0192061459667,92.45541838134432,52.0,Queens,Elmhurst,Queens
Murray Hill-Broadway Flushing,Queens,151,3.76158940397351,168.82119205298014,5.6993778848083485,84.14824487765445,79.28669410150891,51.8,Queens,Murray Hill-Broadway Flushing,Queens
Stuyvesant Town-Peter Cooper Village,New York,8,5.625,314.375,8.522727272727272,70.48122065727699,98.90260631001372,51.4,Manhattan,Stuyvesant Town-Peter Cooper Village,Manhattan
Sunset Park (Central),Kings,26,2.230769230769231,250.26923076923077,3.37995337995338,76.5005417118093,96.43347050754458,51.2,Brooklyn,Sunset Park (Central),Brooklyn
East Williamsburg,Kings,143,6.566433566433567,235.7902097902098,9.949141767323585,77.86007419810237,80.38408779149519,51.2,Brooklyn,East Williamsburg,Brooklyn
Norwood,Bronx,9,2.6666666666666665,274.44444444444446,4.04040404040404,74.23056859676578,98.76543209876543,51.1,Bronx,Norwood,Bronx
Bedford-Stuyvesant (West),Kings,44,3.522727272727273,264.3863636363636,5.3374655647382925,75.1749893299189,93.96433470507544,51.0,Brooklyn,Bedford-Stuyvesant (West),Brooklyn
Downtown Brooklyn-DUMBO-Boerum Hill,Kings,133,14.691729323308271,383.7218045112782,22.260195944406473,63.96978361396448,81.75582990397805,50.8,Brooklyn,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn
Washington Heights (North),New York,63,5.285714285714286,287.14285714285717,8.008658008658008,73.03822937625755,91.35802469135803,50.7,Manhattan,Washington Heights (North),Manhattan
Bushwick (West),Kings,34,9.176470588235293,376.70588235294116,13.903743315508022,64.62855564761117,95.33607681755831,50.5,Brooklyn,Bushwick (West),Brooklyn
Upper West Side-Lincoln Square,New York,116,11.689655172413794,355.73275862068965,17.711598746081506,66.59786304031084,84.0877914951989,50.5,Manhattan,Upper West Side-Lincoln Square,Manhattan
Upper West Side-Manhattan Valley,New York,45,5.688888888888889,319.1111111111111,8.61952861952862,70.03651538862808,93.82716049382715,50.2,Manhattan,Upper West Side-Manhattan Valley,Manhattan
Upper East Side-Yorkville,New York,28,5.392857142857143,327.92857142857144,8.170995670995671,69.20858484238765,96.15912208504801,50.2,Manhattan,Upper East Side-Yorkville,Manhattan
Bedford-Stuyvesant (East),Kings,66,2.6818181818181817,260.43939393939394,4.0633608815427,75.54559681320245,90.94650205761316,50.0,Brooklyn,Bedford-Stuyvesant (East),Brooklyn
Far Rockaway-Bayswater,Queens,6,0.8333333333333334,274.3333333333333,1.2626262626262625,74.24100156494524,99.1769547325103,50.0,Queens,Far Rockaway-Bayswater,Queens
Williamsbridge-Olinville,Bronx,12,2.25,297.75,3.4090909090909087,72.04225352112677,98.35390946502058,49.9,Bronx,Williamsbridge-Olinville,Bronx
Bedford Park,Bronx,9,5.555555555555555,353.0,8.417508417508417,66.8544600938967,98.76543209876543,49.9,Bronx,Bedford Park,Bronx
East New York (North),Kings,6,2.5,308.6666666666667,3.787878787878788,71.01721439749609,99.1769547325103,49.8,Brooklyn,East New York (North),Brooklyn
Morningside Heights,New York,49,5.918367346938775,337.6734693877551,8.967223252937538,68.29357094950656,93.27846364883402,49.6,Manhattan,Morningside Heights,Manhattan
Williamsburg,Kings,227,8.110132158590309,246.9339207048458,12.288079028167134,76.81371636574218,68.86145404663924,49.4,Brooklyn,Williamsburg,Brooklyn
Brownsville,Kings,6,1.5,302.3333333333333,2.272727272727273,71.61189358372457,99.1769547325103,49.4,Brooklyn,Brownsville,Brooklyn
Upper West Side (Central),New York,139,8.223021582733812,332.6546762589928,12.459123610202747,68.76481913061102,80.93278463648834,48.7,Manhattan,Upper West Side (Central),Manhattan
North Corona,Queens,30,4.333333333333333,347.96666666666664,6.565656565656565,67.32707355242566,95.88477366255144,48.7,Queens,North Corona,Queens
Crotona Park East,Bronx,7,3.2857142857142856,352.57142857142856,4.978354978354979,66.89470154258888,99.039780521262,48.6,Bronx,Crotona Park East,Bronx
Jamaica,Queens,20,5.35,375.8,8.106060606060606,64.71361502347418,97.25651577503429,48.6,Queens,Jamaica,Queens
Upper East Side-Lenox Hill-Roosevelt Island,New York,152,7.993421052631579,322.0921052631579,12.111244019138756,69.75660983444527,79.14951989026063,48.6,Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan
Hamilton Heights-Sugar Hill,New York,33,6.121212121212121,381.8484848484849,9.274563820018365,64.1456821738512,95.47325102880659,48.5,Manhattan,Hamilton Heights-Sugar Hill,Manhattan
Manhattanville-West Harlem,New York,21,7.0,404.1904761904762,10.606060606060606,62.04784261122289,97.11934156378601,48.5,Manhattan,Manhattanville-West Harlem,Manhattan
University Heights (North)-Fordham,Bronx,10,4.2,375.2,6.363636363636364,64.7699530516432,98.62825788751715,48.2,Bronx,University Heights (North)-Fordham,Bronx
Ocean Hill,Kings,7,3.0,364.7142857142857,4.545454545454546,65.75452716297787,99.039780521262,47.9,Brooklyn,Ocean Hill,Brooklyn
Harlem (North),New York,12,8.916666666666666,461.4166666666667,13.510101010101009,56.67449139280125,98.35390946502058,47.7,Manhattan,Harlem (North),Manhattan
Murray Hill-Kips Bay,New York,62,7.387096774193548,414.6774193548387,11.192570869990224,61.06315311222173,91.49519890260632,47.2,Manhattan,Murray Hill-Kips Bay,Manhattan
Gramercy,New York,11,10.909090909090908,525.5454545454545,16.52892561983471,50.65300896286813,98.49108367626886,46.6,Manhattan,Gramercy,Manhattan
Washington Heights (South),New York,38,11.342105263157896,511.7368421052632,17.185007974481657,51.94959229058562,94.78737997256516,46.6,Manhattan,Washington Heights (South),Manhattan
Jackson Heights,Queens,127,2.921259842519685,316.1968503937008,4.426151276544978,70.31015489261026,82.57887517146776,46.4,Queens,Jackson Heights,Queens
Upper East Side-Carnegie Hill,New York,215,11.493023255813954,390.93488372093026,17.41367159971811,63.29249918113331,70.50754458161865,46.4,Manhattan,Upper East Side-Carnegie Hill,Manhattan
Allerton,Bronx,6,3.3333333333333335,417.5,5.05050505050505,60.798122065727696,99.1769547325103,46.2,Bronx,Allerton,Bronx
Soundview-Bruckner-Bronx River,Bronx,19,3.4210526315789473,410.57894736842104,5.18341307814992,61.44798616258957,97.39368998628258,46.1,Bronx,Soundview-Bruckner-Bronx River,Bronx
East Harlem (North),New York,8,1.25,384.625,1.893939393939394,63.88497652582159,98.90260631001372,46.1,Manhattan,East Harlem (North),Manhattan
Belmont,Bronx,45,0.3111111111111111,358.6,0.47138047138047134,66.32863849765258,93.82716049382715,45.5,Bronx,Belmont,Bronx
University Heights (South)-Morris Heights,Bronx,18,5.333333333333333,502.05555555555554,8.08080808080808,52.85863328116849,97.53086419753086,43.9,Bronx,University Heights (South)-Morris Heights,Bronx
Mount Eden-Claremont (West),Bronx,10,10.7,592.9,16.21212121212121,44.328638497652584,98.62825788751715,43.9,Bronx,Mount Eden-Claremont (West),Bronx
Morrisania,Bronx,5,2.4,472.4,3.6363636363636362,55.643192488262905,99.31412894375858,43.6,Bronx,Morrisania,Bronx
Mott Haven-Port Morris,Bronx,42,6.571428571428571,527.2142857142857,9.956709956709958,50.49631120053656,94.23868312757202,43.0,Bronx,Mott Haven-Port Morris,Bronx
Tremont,Bronx,25,0.0,448.2,0.0,57.91549295774647,96.57064471879286,42.5,Bronx,Tremont,Bronx
