licensepermitid,premisescounty,description,legalname,dba,actualaddressofpremises,city,statename,zipcode,originalissuedate,expirationdate,georeference
0340-23-131609,New York,Restaurant,SILVET RESTAURANT CORP,IL CANTINORI,32 E 10TH STREET,NEW YORK,New York,10003,09/18/2025,09/30/2027,POINT (-73.99305 40.7324)
0370-24-137141-01,New York,Additional Bar,DRT GROUP LLC,DEAD RABBIT TAVERN,30 WATER STREET,NEW YORK,New York,10004,12/11/2024,12/31/2026,POINT (-74.01095 40.70309)
0340-24-109646,Bronx,Restaurant,EL VALLE RENACER CORP,,2448 JEROME AVE,BRONX,New York,10468,04/10/2024,03/31/2026,POINT (-73.90127 40.86253)
0340-23-138745,New York,Restaurant,46TH STREET HOSPITALITY INC,NINOS 46,39 W 46TH ST,NEW YORK,New York,10036,01/16/2025,01/31/2027,POINT (-73.98064 40.75671)
0340-23-128851,New York,Restaurant,BRASSERIE FELIX INC,RESTAURANT FELIX,340 WEST BROADWAY,NEW YORK,New York,10013,05/12/2025,05/31/2027,POINT (-74.00368 40.72252)
0340-23-131017,Queens,Restaurant,MANETTAS FINE FOOD CORP,,1074 JACKSON AVENUE,LONG ISLAND CITY,New York,11101,08/05/2025,07/31/2027,POINT (-73.95207 40.74285)
0340-24-113910,Bronx,Restaurant,ABSOLUTTO CUISINE & BAR CORP,,900 MORRIS PARK AVE,BRONX,New York,10462,05/16/2024,04/30/2026,POINT (-73.85927 40.84676)
0346-22-116425,Kings,Catering Establishment,Flik International Corp.,,63 FLUSHING AVE,BROOKLYN,New York,11205,08/06/2024,08/31/2026,POINT (-73.97924 40.69865)
0340-23-133374,New York,Restaurant,WADIBIA HOSPITALITY GROUP INC,LAGOS TSQ,727 7TH AVE,NEW YORK,New York,10019,01/27/2025,01/31/2027,POINT (-73.98393 40.76011)
0340-24-103679-01,New York,Additional Bar,ELLENS STARDUST INC AND LESSINGS STARDUST MGMT LLC,(Basement - Add Bar),1650 BROADWAY,NEW YORK,New York,10019,01/27/2026,01/31/2028,POINT (-73.98371 40.76195)
0340-23-130013,New York,Restaurant,MIMIS RESTAURANT CORP,MIMIS,984 2ND AVENUE,NEW YORK,New York,10022,03/11/2025,02/28/2027,POINT (-73.96754 40.75622)
0340-23-132432,Queens,Restaurant,WATAWA INC,,33 10 DITMARS BLVD,ASTORIA,New York,11105,09/03/2025,09/30/2027,POINT (-73.90949 40.77528)
0340-24-111771,New York,Restaurant,MASTICABRODO LLC,"Alaluna Ristorante, Travelers Poets & Friends, Osteria 57",453-457 6TH AVE,NEW YORK,New York,10011,07/21/2025,04/30/2026,POINT (-73.99854 40.73504)
0340-23-137902,Queens,Restaurant,EL CUENCANITO DELI & PIZZA REST INC,,99-12 ALSTYNE AVE,CORONA,New York,11368,06/26/2025,06/30/2027,POINT (-73.86246 40.74362)
0340-25-118476,Queens,Restaurant,2K Health Food Services Inc.,IYKYK,70-13 Austin St,Forest Hills,New York,11375,08/04/2025,07/31/2027,POINT (-73.84646 40.72078)
0340-26-134179,Bronx,Restaurant,WILDLIFE CONSERVATION SOCIETY,SOMBA VILLAGE,2300 SOUTHERN BLVD,BRONX,New York,10460,01/24/2026,12/31/2027,POINT (-73.8819 40.85102)
0340-23-134018,New York,Restaurant,JTP RESTAURANT CORP,BIERHAUS,712 3RD AVENUE,NEW YORK,New York,10017,02/28/2025,02/28/2027,POINT (-73.9732 40.75247)
0340-23-128428,New York,Restaurant,COCOS AT COLETTE LLC,COCOS AT COLETTE,767 5TH AVE,NEW YORK,New York,10153,02/06/2025,02/28/2027,POINT (-73.97338 40.76378)
0340-23-129812,New York,Restaurant,DL RESTAURANT DEVELOPMENT LLC,SCALINI FEDELI RISTORANTE,165 DUANE ST,NEW YORK,New York,10013,09/19/2025,10/31/2027,POINT (-74.00941 40.71731)
0340-24-116270,Queens,Restaurant,BHANCHHA GHAR II INC,BHANCHHA GHAR RESTAURANT,74-11 ROOSEVELT AVE,JACKSON HEIGHTS,New York,11372,06/05/2024,05/31/2026,POINT (-73.89079 40.74691)
0340-24-139674,Kings,Restaurant,Chula Vista Inc.,Alma,187 Columbia St,Brooklyn,New York,11231,12/20/2024,11/30/2026,POINT (-74.0024 40.68564)
0340-23-138877,Queens,Restaurant,IRON AGE REGO PARK LLC,IRON AGE,61 35 JUNCTION BLVD,REGO PARK,New York,11374,06/17/2025,07/31/2027,POINT (-73.864 40.7331)
0346-22-117588,New York,Catering Establishment,ARAMARK SERVICES INC,,277 PARK AVE,NEW YORK,New York,10017,03/06/2024,03/31/2026,POINT (-73.97494 40.75567)
0340-23-133363,New York,Restaurant,QUESADILLAS MATY CORP,,2141 2ND AVE,NEW YORK,New York,10029,03/07/2025,02/28/2027,POINT (-73.94049 40.79329)
0340-23-137840,New York,Restaurant,MMW CAFE LLC,BLOOM'S/BLOOM'S TAVERN,208 E 58TH ST,NEW YORK,New York,10022,09/15/2025,09/30/2027,POINT (-73.96644 40.76068)
0340-24-129892,New York,Restaurant,Grupo Animo LLC,Animo!,1004 2nd Ave,New York,New York,10022,12/05/2025,08/31/2026,POINT (-73.96705 40.75691)
